"year","team","match_played","wins","draws","losts","goals_scored","goals_conceded","gd","group_point","champions","gd_calc","era","goals_pm","conceded_pm","margin_pm","success_rate"
1993,"Marseille",6,3,3,0,14,4,10,9,1,10,"Era A (1993-2001)",2.33333333333333,0.666666666666667,1.66666666666667,0.75
1993,"Milan",7,6,0,1,11,2,9,12,0,9,"Era A (1993-2001)",1.57142857142857,0.285714285714286,1.28571428571429,0.857142857142857
1993,"Rangers",6,2,4,0,7,5,2,8,0,2,"Era A (1993-2001)",1.16666666666667,0.833333333333333,0.333333333333333,0.666666666666667
1993,"Club Brugge",6,2,1,3,5,8,-3,5,0,-3,"Era A (1993-2001)",0.833333333333333,1.33333333333333,-0.5,0.416666666666667
1993,"CSKA Moscow",6,0,2,4,2,11,-9,2,0,-9,"Era A (1993-2001)",0.333333333333333,1.83333333333333,-1.5,0.166666666666667
1993,"IFK Goteborg",6,3,0,3,7,8,-1,6,0,-1,"Era A (1993-2001)",1.16666666666667,1.33333333333333,-0.166666666666667,0.5
1993," Porto",6,2,1,3,5,5,0,5,0,0,"Era A (1993-2001)",0.833333333333333,0.833333333333333,0,0.416666666666667
1993,"PSV Eindhoven",6,0,1,5,4,13,-9,1,0,-9,"Era A (1993-2001)",0.666666666666667,2.16666666666667,-1.5,0.0833333333333333
1994," Spartak Moscow",6,1,3,2,6,12,-6,5,0,-6,"Era A (1993-2001)",1,2,-1,0.416666666666667
1994," Galatasaray",6,0,2,4,1,10,-9,2,0,-9,"Era A (1993-2001)",0.166666666666667,1.66666666666667,-1.5,0.166666666666667
1994,"Werder Bremen",6,2,1,3,11,15,-4,5,0,-4,"Era A (1993-2001)",1.83333333333333,2.5,-0.666666666666667,0.416666666666667
1994,"Anderlecht",6,1,2,3,5,9,-4,4,0,-4,"Era A (1993-2001)",0.833333333333333,1.5,-0.666666666666667,0.333333333333333
1994,"Porto",7,3,1,3,10,9,1,7,0,1,"Era A (1993-2001)",1.42857142857143,1.28571428571429,0.142857142857143,0.5
1994,"Monaco",7,3,1,3,9,7,2,7,0,2,"Era A (1993-2001)",1.28571428571429,1,0.285714285714286,0.5
1994,"Barcelona",8,5,2,1,16,7,9,10,0,9,"Era A (1993-2001)",2,0.875,1.125,0.75
1994,"Milan",8,4,4,0,13,2,11,8,1,11,"Era A (1993-2001)",1.625,0.25,1.375,0.75
1995,"Manchester United",6,2,2,2,11,11,0,6,0,0,"Era A (1993-2001)",1.83333333333333,1.83333333333333,0,0.5
1995,"Galatasaray",6,1,1,4,3,9,-6,3,0,-6,"Era A (1993-2001)",0.5,1.5,-1,0.25
1995,"Spartak Moscow",6,1,2,3,8,12,-4,4,0,-4,"Era A (1993-2001)",1.33333333333333,2,-0.666666666666667,0.333333333333333
1995,"Dynamo Kyiv",6,1,0,5,5,11,-6,2,0,-6,"Era A (1993-2001)",0.833333333333333,1.83333333333333,-1,0.166666666666667
1995,"Steaua Bucure?ti",6,1,3,2,7,6,1,5,0,1,"Era A (1993-2001)",1.16666666666667,1,0.166666666666667,0.416666666666667
1995,"Anderlecht",6,0,4,2,4,7,-3,4,0,-3,"Era A (1993-2001)",0.666666666666667,1.16666666666667,-0.5,0.333333333333333
1995,"Casino Salzburg",6,1,3,2,4,6,-2,5,0,-2,"Era A (1993-2001)",0.666666666666667,1,-0.333333333333333,0.416666666666667
1995,"AEK Athens",6,0,2,4,3,9,-6,2,0,-6,"Era A (1993-2001)",0.5,1.5,-1,0.166666666666667
1995,"IFK Goteborg",8,4,3,1,12,9,3,9,0,3,"Era A (1993-2001)",1.5,1.125,0.375,0.6875
1995,"Barcelona",8,2,3,3,13,11,2,6,0,2,"Era A (1993-2001)",1.625,1.375,0.25,0.4375
1995,"Paris Saint-Germain",10,7,1,2,15,6,9,12,0,9,"Era A (1993-2001)",1.5,0.6,0.9,0.75
1995,"Bayern Munich",10,2,5,3,12,14,-2,6,0,-2,"Era A (1993-2001)",1.2,1.4,-0.2,0.45
1995," Benfica",8,3,4,1,9,7,2,9,0,2,"Era A (1993-2001)",1.125,0.875,0.25,0.625
1995,"Hajduk Split",8,2,3,3,5,10,-5,6,0,-5,"Era A (1993-2001)",0.625,1.25,-0.625,0.4375
1995,"Ajax",11,7,4,0,18,4,14,10,1,14,"Era A (1993-2001)",1.63636363636364,0.363636363636364,1.27272727272727,0.818181818181818
1995,"Milan",11,6,2,3,11,6,5,5,0,5,"Era A (1993-2001)",1,0.545454545454545,0.454545454545455,0.636363636363636
1996,"Panathinaikos",10,5,3,2,11,6,5,11,0,5,"Era A (1993-2001)",1.1,0.6,0.5,0.65
1996,"Nantes",10,4,4,2,15,12,3,9,0,3,"Era A (1993-2001)",1.5,1.2,0.3,0.6
1996,"Porto",6,1,4,1,6,5,1,7,0,1,"Era A (1993-2001)",1,0.833333333333333,0.166666666666667,0.5
1996,"Aalborg BK",6,1,1,4,5,12,-7,4,0,-7,"Era A (1993-2001)",0.833333333333333,2,-1.16666666666667,0.25
1996,"Spartak Moscow",8,6,1,1,17,8,9,18,0,9,"Era A (1993-2001)",2.125,1,1.125,0.8125
1996,"Legia Warsaw",8,2,2,4,5,11,-6,7,0,-6,"Era A (1993-2001)",0.625,1.375,-0.75,0.375
1996,"Rosenborg",6,2,0,4,11,16,-5,6,0,-5,"Era A (1993-2001)",1.83333333333333,2.66666666666667,-0.833333333333333,0.333333333333333
1996,"Blackburn Rovers",6,1,1,4,5,8,-3,4,0,-3,"Era A (1993-2001)",0.833333333333333,1.33333333333333,-0.5,0.25
1996,"Juventus",11,6,2,3,22,9,13,13,1,13,"Era A (1993-2001)",2,0.818181818181818,1.18181818181818,0.636363636363636
1996,"Borussia Dortmund",8,2,3,3,8,11,-1,9,0,-3,"Era A (1993-2001)",1,1.375,-0.375,0.4375
